policy,rank,total_cost_yuan,saving_vs_0_only_yuan,saving_vs_0_only_pct,plan_cost_yuan,adjust_cost_yuan,emergency_cost_yuan,emergency_kwh,adjust_up_kwh,adjust_down_kwh
0-only,8,13986857.304819496,0.0,0.0,12925492.894988835,0.0,1061364.4098306678,174062.45061621486,0.0,0.0
0+6,7,13629390.211894276,357467.0929252207,2.5557356104723192,12169534.128912982,891494.8411136619,568361.2418676331,91213.15232388944,698587.7762229034,139671.13713190574
0+12,6,13601849.56434702,385007.74047247693,2.7526393676713465,12264466.0544405,670360.5404292031,667022.969477309,116668.3129534791,514054.31748192315,194215.37234513875
0+18,5,13470468.59764396,516388.7071755361,3.6919566413078537,12527633.846878989,550686.1504525176,392148.60031245404,75408.0246006899,283491.4039524858,17230.33320498337
0+6+12,4,13424048.220039539,562809.0847799573,4.023842329370361,12116485.747812979,855605.8429562834,451956.62927026977,74614.50816562993,634484.1654047873,256057.90999591514
0+6+18,2,13312768.68470738,674088.6201121155,4.8194430344252,12153771.019228935,951230.5963900184,207767.069088446,38137.5822018406,673051.627403858,173287.6552960437
0+12+18,3,13366397.250772396,620460.0540471002,4.436021906317056,12248822.892262653,694068.174266654,423506.18424309697,80282.21494262145,499886.3319270498,216746.73845362582
0+6+12+18,1,13193305.636975596,793551.6678439006,5.6735523252279405,12101643.929898042,876491.8600308168,215169.84704675697,39259.2569679873,616637.941464491,276874.0285544768
